product_name,product_description,category_name,manufacturer_name,model_number,price,cost,stock_quantity,weight_kg,dimensions_cm,color,warranty_months,energy_rating,connectivity_type,is_active,created_date
Philips Hue White Bulb,Smart LED bulb with dimming capability,Smart Bulbs,Philips,HUE-W-A19,24.99,12.50,150,0.2,6 x 6 x 11,White,24,A+,WiFi,TRUE,2024-01-10
Amazon Echo Dot,Smart speaker with Alexa voice assistant,Speakers,Amazon,ECHO-DOT-5,49.99,25.00,200,0.34,10 x 10 x 8.9,Charcoal,12,N/A,WiFi,TRUE,2024-01-10
Google Nest Thermostat,Smart thermostat with energy saving features,Thermostats,Google,NEST-T3007ES,249.99,125.00,75,0.48,8.4 x 8.4 x 3.2,White,24,Energy Star,WiFi,TRUE,2024-01-10
Ring Video Doorbell,HD video doorbell with motion detection,Cameras,Ring,RING-VD-4,199.99,100.00,100,0.5,12.8 x 6.2 x 2.8,Bronze,12,N/A,WiFi,TRUE,2024-01-10
Samsung SmartThings Hub,Central hub for smart home automation,Networking,Samsung,ST-HUB-V3,129.99,65.00,50,0.45,17 x 11.7 x 3.8,White,24,N/A,WiFi/Zigbee,TRUE,2024-01-10
TP-Link Kasa Smart Switch,WiFi enabled wall switch with scheduling,Smart Switches,TP-Link,HS200,14.99,7.50,300,0.15,4.6 x 3.1 x 1.5,White,24,N/A,WiFi,TRUE,2024-01-10
Wyze Cam v3,Indoor/outdoor security camera with night vision,Cameras,Wyze,WYZEC3,35.99,18.00,250,0.16,5.5 x 5.5 x 9.4,White,12,N/A,WiFi,TRUE,2024-01-10
Sonos One SL,Compact smart speaker for music streaming,Speakers,Sonos,ONESLUS1,179.99,90.00,80,1.85,16.2 x 12.0 x 12.0,Black,24,N/A,WiFi,TRUE,2024-01-10
August Smart Lock Pro,Keyless entry smart lock with auto-unlock,Door Locks,August,AUG-SL03-M02-G03,279.99,140.00,60,1.13,7.4 x 7.4 x 4.5,Silver,12,N/A,WiFi/Bluetooth,TRUE,2024-01-10
Philips Hue Color Bulb,Color-changing smart LED bulb,Smart Bulbs,Philips,HUE-C-A19,49.99,25.00,120,0.2,6 x 6 x 11,Multi-Color,24,A+,WiFi,TRUE,2024-01-10
Ecobee SmartThermostat,Voice-enabled smart thermostat with room sensors,Thermostats,Ecobee,EB-STATE6L,249.99,125.00,45,0.64,10.7 x 10.7 x 2.4,Black,36,Energy Star,WiFi,TRUE,2024-01-10
LG ThinQ Refrigerator,Smart refrigerator with internal cameras,Refrigerators,LG Electronics,LRFXS3106S,2199.99,1100.00,10,136.0,91.1 x 70.9 x 178.4,Stainless Steel,12,Energy Star,WiFi,TRUE,2024-01-10
Nest Protect Smoke Detector,Smart smoke and carbon monoxide detector,Sensors,Nest Labs,NEST-S3003LWES,119.99,60.00,90,0.38,13.8 x 13.8 x 3.9,White,60,N/A,WiFi,TRUE,2024-01-10
Yale Assure Lock,Touchscreen smart lock with keypad,Door Locks,Yale,YRD256-ZW2-619,199.99,100.00,70,1.4,7.9 x 14.3 x 6.4,Satin Nickel,12,N/A,Z-Wave,TRUE,2024-01-10
Honeywell T9 Thermostat,Smart thermostat with remote room sensors,Thermostats,Honeywell,RCHT9610WF,199.99,100.00,85,0.55,10.6 x 10.6 x 2.7,White,60,Energy Star,WiFi,TRUE,2024-01-10
Amazon Fire TV Stick 4K,4K streaming device with Alexa voice remote,Streaming Devices,Amazon,B08XVYZ1Y5,49.99,25.00,180,0.052,10.8 x 1.4 x 0.9,Black,12,N/A,WiFi,TRUE,2024-01-10
Kasa Smart Coffee Maker,WiFi-enabled programmable coffee maker,Coffee Makers,Kasa,KM200,89.99,45.00,40,3.2,35.6 x 22.9 x 38.1,Black,12,N/A,WiFi,TRUE,2024-01-10
Ring Alarm Motion Detector,Wireless motion sensor for home security,Sensors,Ring,4AK1S7-0EN0,29.99,15.00,150,0.12,6.3 x 6.3 x 6.3,White,36,N/A,Z-Wave,TRUE,2024-01-10
